Voucher,Order nr.,Full Name,Phone number,Date,Email Sent
ASCTEST3,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:34:24,to be done
ASCTEST6,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:34:24,to be done
ASCTEST1,Neue Bestellung #23,Andri Bisaz,799126656.0,25/03/2022 19:34:24,to be done
ASCTEST2,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:35:35,andridomenic95atgmail.com
ASCTEST4,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:35:35,andridomenic95atgmail.com
ASCTEST5,Neue Bestellung #23,Andri Bisaz,799126656.0,25/03/2022 19:35:35,andridomenic95atgmail.com
ASCTEST7,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:36:05,andridomenic95atgmail.com
ASCTEST8,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:36:05,andridomenic95atgmail.com
ASCTEST9,Neue Bestellung #23,Andri Bisaz,799126656.0,25/03/2022 19:36:05,andridomenic95atgmail.com
ASCTEST10,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:36:22,andridomenic95atgmail.com
ASCTEST11,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:36:22,andridomenic95atgmail.com
ASCTEST12,Neue Bestellung #23,Andri Bisaz,799126656.0,25/03/2022 19:36:22,andridomenic95atgmail.com
ASCTEST13,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:46:07,andridomenic95atgmail.com
ASCTEST14,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:46:07,andridomenic95atgmail.com
ASCTEST15,Neue Bestellung #23,Andri Bisaz,799126656.0,25/03/2022 19:46:07,andridomenic95atgmail.com
ASCTEST16,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:47:37,andridomenic95atgmail.com
ASCTEST17,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:47:37,andridomenic95atgmail.com
ASCTEST18,Neue Bestellung #23,Andri Bisaz,799126656.0,25/03/2022 19:47:37,andridomenic95atgmail.com
ASCTEST19,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:50:33,andridomenic95atgmail.com
ASCTEST20,Neue Bestellung #24,Neanderdtaler langer Name,799126656.0,25/03/2022 19:50:33,andridomenic95atgmail.com
ASCTEST21,Neue Bestellung #23,Andri Bisaz,0799126656,25/03/2022 19:50:33,andridomenic95atgmail.com
ASCTEST22,,,,,
ASCTEST23,,,,,
ASCTEST24,,,,,
ASCTEST25,,,,,
ASCTEST26,,,,,
ASCTEST27,,,,,
ASCTEST28,,,,,
ASCTEST29,,,,,
ASCTEST30,,,,,
ASCTEST31,,,,,
ASCTEST32,,,,,
ASCTEST33,,,,,
ASCTEST34,,,,,
ASCTEST35,,,,,
ASCTEST36,,,,,
ASCTEST37,,,,,
ASCTEST38,,,,,
ASCTEST39,,,,,
ASCTEST40,,,,,
ASCTEST41,,,,,
ASCTEST42,,,,,
ASCTEST43,,,,,
ASCTEST44,,,,,
ASCTEST45,,,,,
ASCTEST46,,,,,
ASCTEST47,,,,,
ASCTEST48,,,,,
ASCTEST49,,,,,
ASCTEST50,,,,,
ASCTEST51,,,,,
ASCTEST52,,,,,
ASCTEST53,,,,,
ASCTEST54,,,,,
ASCTEST55,,,,,
ASCTEST56,,,,,
ASCTEST57,,,,,
ASCTEST58,,,,,
ASCTEST59,,,,,
ASCTEST60,,,,,
ASCTEST61,,,,,
ASCTEST62,,,,,
ASCTEST63,,,,,
ASCTEST64,,,,,
ASCTEST65,,,,,
ASCTEST66,,,,,
ASCTEST67,,,,,
ASCTEST68,,,,,
ASCTEST69,,,,,
ASCTEST70,,,,,
ASCTEST71,,,,,
ASCTEST72,,,,,
ASCTEST73,,,,,
ASCTEST74,,,,,
ASCTEST75,,,,,
ASCTEST76,,,,,
ASCTEST77,,,,,
ASCTEST78,,,,,
ASCTEST79,,,,,
ASCTEST80,,,,,
ASCTEST81,,,,,
ASCTEST82,,,,,
ASCTEST83,,,,,
ASCTEST84,,,,,
ASCTEST85,,,,,
ASCTEST86,,,,,
ASCTEST87,,,,,
ASCTEST88,,,,,
ASCTEST89,,,,,
ASCTEST90,,,,,
ASCTEST91,,,,,
ASCTEST92,,,,,
ASCTEST93,,,,,
ASCTEST94,,,,,
ASCTEST95,,,,,
ASCTEST96,,,,,
ASCTEST97,,,,,
ASCTEST98,,,,,
ASCTEST99,,,,,
ASCTEST100,,,,,
ASCTEST101,,,,,
ASCTEST102,,,,,
ASCTEST103,,,,,
ASCTEST104,,,,,
ASCTEST105,,,,,
ASCTEST106,,,,,
ASCTEST107,,,,,
ASCTEST108,,,,,
ASCTEST109,,,,,
ASCTEST110,,,,,
